Unique_Visit_Identifier,Country_of_Visit,Country_of_Visit_IS03,Country_of_Visit_Region_World_Bank,Country_of_Visit_Borders_China,Visit_Arrival_Date,Visit_End_Date,Visit_Year,Multilateral_Summit,Multilateral_Summit_Type,Overall_Trip_Number,First_Visit_as_President,Visit_Number_to_Country_of_Visit,State_Visit,Head_of_State_Meeting,Capital_City_Visit,Locations_Visited,Geocoded_Locations,Visit_Sources_URLs
10045,Turkey,TUR,Europe and Central Asia,0,11/14/15,11/16/15,2015,1,G20,18,1,1,0,1,0,Antalya,"36.8865728, 30.7030242",https://en.people.cn/n/2015/1115/c90000-8976633.html|https://www.fmprc.gov.cn/mfa_eng/gjhdq_665435/2675_665437/2898_663796/|https://losangeles.china-consulate.gov.cn/eng/topnews/201511/t20151119_4288665.htm
10046,Philippines,PHL,East Asia and Pacific,0,11/17/15,11/19/15,2015,1,APEC,18,1,1,0,1,1,Manila,"14.5904492, 120.9803621",https://www.fmprc.gov.cn/eng/topics_665678/2015zt/xjpcxesgjtldrdscfhhytjhzzdesscldrfzshy/201511/t20151119_704794.html|https://www.rappler.com/newsbreak/iq/216885-chinese-presidents-trips-philippines-xi-jinping/|https://www.mfa.gov.cn/eng/zy/jj/2015zt/xjpcxesgjtldrdscfhhytjhzzdesscldrfzshy/202406/t20240606_11381276.html|https://www.alamy.com/stock-photo-manila-philippines-19th-november-2015-chinese-president-xi-jinping-90253471.html
10047,France,FRA,Europe and Central Asia,0,11/29/15,11/30/15,2015,0,0,19,0,2,0,1,1,Paris,"48.8588897, 2.320041",http://www.chinatoday.com.cn/english/news/2015-11/30/content_708787.htm|https://www.fmprc.gov.cn/eng./zy/jj/2015zt/xjpffgcxqhbhbldhdjbbwnfjxgsfwbfnfyhnsbzczfhzltfh/202406/t20240606_11381188.html|https://www.fmprc.gov.cn/eng/zy/jj/2015zt/xjpffgcxqhbhbldhdjbbwnfjxgsfwbfnfyhnsbzczfhzltfh/index_7.html|https://en.people.cn/n/2015/1130/c90000-8983510.html|https://www.fmprc.gov.cn/eng/gjhdq_665435/2913_665441/3119_664264/3121_664268/202406/t20240611_11418850.html
10048,Zimbabwe,ZWE,Sub-Saharan Africa,0,12/1/15,12/2/15,2015,0,0,19,1,1,1,1,1,Harare,"-17.8567035, 31.0601584",https://www.reuters.com/article/us-china-africa-zimbabwe-idUSKBN0TK3Q320151201|https://www.fmprc.gov.cn/eng/gjhdq_665435/2913_665441/3119_664264/3121_664268/202406/t20240611_11418850.html|https://www.fmprc.gov.cn/eng/gjhdq_665435/2913_665441/3119_664264/3121_664268/202406/t20240611_11418849.html
10049,South Africa,ZAF,Sub-Saharan Africa,0,12/2/15,12/5/15,2015,0,0,19,0,2,1,1,1,Pretoria; Johannesburg,"-25.7459277, 28.1879101; -26.205, 28.049722",https://uk.reuters.com/article/china-africa-safrica/chinas-xi-arrives-in-south-africa-for-talks-with-zuma-trade-summit-idUKL8N13R2FK20151202|https://www.fmprc.gov.cn/eng/gjhdq_665435/2913_665441/3119_664264/3121_664268/202406/t20240611_11418850.html|http://www.china.org.cn/world/2015-11/28/content_37185184.htm|https://za.china-embassy.gov.cn/eng/jbwzlm/zfgxss/zywx/201512/t20151208_7682919.htm
10050,Saudi Arabia,SAU,Middle East and North Africa,0,1/19/16,1/20/16,2016,0,0,20,1,1,1,1,1,Riyadh,"23.333333, 45.333333",https://www.bbc.com/news/world-middle-east-35351391|https://www.fmprc.gov.cn/eng/zy/jj/2016zt/xjpdstajyljxgsfw/202406/t20240606_11381109.html|https://www.mfa.gov.cn/eng/zy/jj/2016zt/xjpdstajyljxgsfw/202406/t20240606_11381106.html
10051,Egypt,EGY,Middle East and North Africa,0,1/20/16,1/21/16,2016,0,0,20,1,1,1,1,1,Cairo,"30.0443879, 31.2357257",https://www.chinadaily.com.cn/world/2016xivisitmiddleeast/2016-01/21/content_23174025.htm|http://www.chinafrica.cn/China/201601/t20160121_800047323.html|https://sis.gov.eg/en/presidency/presidents-receptions/chinese-president-s-visit/|https://www.fmprc.gov.cn/mfa_eng//zy/jj/2016zt/xjpdstajyljxgsfw/202406/t20240606_11381113.html|https://www.fmprc.gov.cn/eng/zy/jj/2016zt/xjpdstajyljxgsfw/202406/t20240606_11381115.html|https://www.fmprc.gov.cn/eng/zy/jj/2016zt/xjpdstajyljxgsfw/202406/t20240606_11381123.html
10052,Iran,IRN,Middle East and North Africa,0,1/22/16,1/23/16,2016,0,0,20,1,1,1,1,1,Tehran,"35.6892523, 51.3896004",https://www.bbc.com/news/world-middle-east-35390779|https://www.fmprc.gov.cn/eng/zy/jj/2016zt/xjpdstajyljxgsfw/202406/t20240606_11381123.html|https://mumbai.china-consulate.gov.cn/eng/zgyw/201601/t20160126_5410373.htm|https://www.fmprc.gov.cn/mfa_eng//zy/jj/2016zt/xjpdstajyljxgsfw/202406/t20240606_11381125.html|https://en.people.cn/n3/2016/0124/c90780-9008474.html
10053,Czech Republic,CZE,Europe and Central Asia,0,3/28/16,3/30/16,2016,0,0,21,1,1,1,1,1,Prague,"50.0874654, 14.4212535",https://www.reuters.com/article/us-czech-china/czech-courtship-pays-off-with-landmark-visit-from-chinese-leader-idUSKCN0WU01J|https://www.mfa.gov.cn/mfa_eng/zy/jj/2016zt/xjpdjkjxgsfwbfmgcxdsjhaqfh/202406/t20240606_11380789.html|https://www.mfa.gov.cn/eng/zy/jj/2016zt/xjpdjkjxgsfwbfmgcxdsjhaqfh/202406/t20240606_11380793.html|https://www.fmprc.gov.cn/eng./zy/jj/2016zt/xjpdjkjxgsfwbfmgcxdsjhaqfh/202406/t20240606_11380802.html
10054,United States,USA,North America,0,3/30/16,4/1/16,2016,0,0,21,0,3,0,1,1,"Washington, D.C.","38.8950982, -77.0363849",https://www.fmprc.gov.cn/eng/topics_665678/2016zt/xjpdjkjxgsfwbfmgcxdsjhaqfh/201604/t20160405_703900.html|https://www.fmprc.gov.cn/eng/topics_665678/2016zt/xjpdjkjxgsfwbfmgcxdsjhaqfh/201604/t20160406_703934.html|https://ph.china-embassy.gov.cn/eng/chinew/201604/t20160405_1159761.htm|https://www.fmprc.gov.cn/mfa_eng/zy/jj/2016zt/xjpdjkjxgsfwbfmgcxdsjhaqfh/202406/t20240606_11380807.html|https://www.fmprc.gov.cn/eng/zy/jj/2016zt/xjpdjkjxgsfwbfmgcxdsjhaqfh/202406/t20240606_11380824.html|https://www.caea.gov.cn/english/n6759373/n6759493/c6793394/content.html
10055,Serbia,SRB,Europe and Central Asia,0,6/17/16,6/19/16,2016,0,0,22,1,1,1,1,1,Belgrade,"44.8153318, 20.4456588",https://www.fmprc.gov.cn/mfa_eng/topics_665678/2016zt/xjpdsrwyblwzbkstjxgsfwbcxshzzcygyslshdschy/201606/t20160621_703941.html|https://www.fmprc.gov.cn/mfa_eng/topics_665678/2016zt/xjpdsrwyblwzbkstjxgsfwbcxshzzcygyslshdschy/201606/t20160621_703951.html|http://www.xinhuanet.com//english/2016-06/19/c_135449190.htm|https://ph.china-embassy.gov.cn/eng/chinew/201606/t20160621_1161172.htm|https://ph.china-embassy.gov.cn/eng/chinew/201606/t20160621_1161134.htm|https://www.osw.waw.pl/en/publikacje/analyses/2016-06-22/xi-jinping-serbia-not-just-economy
10056,Poland,POL,Europe and Central Asia,0,6/19/16,6/21/16,2016,0,0,22,1,1,1,1,1,Warsaw,"52.2333742, 21.0711489",https://www.fmprc.gov.cn/mfa_eng/topics_665678/2016zt/xjpdsrwyblwzbkstjxgsfwbcxshzzcygyslshdschy/201606/t20160622_703967.html|https://www.fmprc.gov.cn/mfa_eng/topics_665678/2016zt/xjpdsrwyblwzbkstjxgsfwbcxshzzcygyslshdschy/201606/t20160622_703959.html|http://en.chinadiplomacy.org.cn/2019-09/30/content_75261359.shtml|https://ph.china-embassy.gov.cn/eng/chinew/201606/t20160621_1161134.htm|https://www.mfa.gov.cn/eng/zy/jj/2016zt/xjpdsrwyblwzbkstjxgsfwbcxshzzcygyslshdschy/202406/t20240606_11380840.html|https://en.people.cn/n3/2016/0621/c90000-9075372.html|https://www.mfa.gov.cn/eng/zy/jj/2016zt/xjpdsrwyblwzbkstjxgsfwbcxshzzcygyslshdschy/202406/t20240606_11380836.html|https://www.mfa.gov.cn/eng/zy/jj/2016zt/xjpdsrwyblwzbkstjxgsfwbcxshzzcygyslshdschy/202406/t20240606_11380844.html
10057,Uzbekistan,UZB,Europe and Central Asia,0,6/21/16,6/24/16,2016,1,SCO,22,0,2,1,1,1,Tashkent; Bukhara,"41.3123363, 69.2787079; 39.7759835, 64.415153",http://www.chinatoday.com.cn/english/news/2016-06/22/content_722868.htm|https://ph.china-embassy.gov.cn/eng/chinew/201606/t20160621_1161134.htm|https://www.mfa.gov.cn/eng/zy/jj/2016zt/xjpdsrwyblwzbkstjxgsfwbcxshzzcygyslshdschy/202406/t20240606_11380840.html|https://www.fmprc.gov.cn/mfa_eng/zy/jj/2016zt/xjpdsrwyblwzbkstjxgsfwbcxshzzcygyslshdschy/202406/t20240606_11380866.html|https://en.people.cn/n3/2016/0621/c90000-9075372.html|https://www.mfa.gov.cn/eng/zy/jj/2016zt/xjpdsrwyblwzbkstjxgsfwbcxshzzcygyslshdschy/202406/t20240606_11380845.html|http://www.scio.gov.cn/news_0/202209/t20220921_415868.html|https://ph.china-embassy.gov.cn/eng/chinew/201606/t20160624_1161235.htm|https://www.mfa.gov.cn/eng/zy/jj/2016zt/xjpdsrwyblwzbkstjxgsfwbcxshzzcygyslshdschy/202406/t20240606_11380863.html
10058,Cambodia,KHM,East Asia and Pacific,0,10/13/16,10/14/16,2016,0,0,23,1,1,1,1,1,Phnom Penh,"11.5730391, 104.857807",https://www.reuters.com/article/us-china-cambodia/chinese-president-xi-jinping-visits-loyal-friend-cambodia-idUSKCN12D0NV|https://www.mfa.gov.cn/mfa_eng/zy/jj/2016zt/XJPDJPZMJLGJXGSFWBCXZYDGAJXDJZGJLDRDBCHW/202406/t20240606_11380997.html|https://www.fmprc.gov.cn/eng/zy/jj/2016zt/XJPDJPZMJLGJXGSFWBCXZYDGAJXDJZGJLDRDBCHW/202406/t20240606_11381016.html|https://losangeles.china-consulate.gov.cn/eng/topnews/201610/t20161018_4293570.htm|https://www.mfa.gov.cn/eng/zy/jj/2016zt/XJPDJPZMJLGJXGSFWBCXZYDGAJXDJZGJLDRDBCHW/202406/t20240606_11380998.html
10059,Bangladesh,BGD,South Asia,0,10/14/16,10/15/16,2016,0,0,23,1,1,1,1,1,Dhaka,"23.7643863, 90.3890144",https://www.forbes.com/sites/arafatkabir/2016/10/14/chinese-president-xi-jinpings-visit-to-bangladesh-gives-boost-to-bilateral-relations/|https://www.mfa.gov.cn/mfa_eng/zy/jj/2016zt/XJPDJPZMJLGJXGSFWBCXZYDGAJXDJZGJLDRDBCHW/202406/t20240606_11380997.html|https://www.fmprc.gov.cn/eng/zy/jj/2016zt/XJPDJPZMJLGJXGSFWBCXZYDGAJXDJZGJLDRDBCHW/202406/t20240606_11381016.html|https://www.chinadaily.com.cn/world/xiattendsbricssummit/2016-10/14/content_27067062.htm|https://www.mfa.gov.cn/mfa_eng/zy/jj/2016zt/XJPDJPZMJLGJXGSFWBCXZYDGAJXDJZGJLDRDBCHW/202406/t20240606_11381004.html
10060,India,IND,South Asia,1,10/15/16,10/17/16,2016,1,BRICS,23,0,2,0,0,0,Goa,"15.3004543, 74.0855134",https://timesofindia.indiatimes.com/india/Chinese-President-Xi-Jinping-arrives-in-Goa-for-BRICS-2016-meet/articleshow/54866744.cms|https://timesofindia.indiatimes.com/world/china/xi-jinping-to-visit-india-bangladesh-cambodia-this-week/articleshow/54773950.cms|http://ph.china-embassy.gov.cn/eng/chinew/201610/t20161019_1163038.htm|https://www.mfa.gov.cn/mfa_eng/zy/jj/2016zt/XJPDJPZMJLGJXGSFWBCXZYDGAJXDJZGJLDRDBCHW/202406/t20240606_11380997.html|https://www.fmprc.gov.cn/eng/zy/jj/2016zt/XJPDJPZMJLGJXGSFWBCXZYDGAJXDJZGJLDRDBCHW/202406/t20240606_11381016.html|https://www.fmprc.gov.cn/mfa_eng/zy/jj/2016zt/xjpdsrwyblwzbkstjxgsfwbcxshzzcygyslshdschy/202406/t20240606_11380856.html|https://www.mfa.gov.cn/eng/zy/jj/2016zt/XJPDJPZMJLGJXGSFWBCXZYDGAJXDJZGJLDRDBCHW/202406/t20240606_11381006.html
10061,Ecuador,ECU,Latin America and Caribbean,0,11/17/16,11/18/16,2016,0,0,24,1,1,1,1,1,Quito,"-0.2201641, -78.5123274",http://un.china-mission.gov.cn/eng/zgyw/201611/t20161122_8393774.htm|https://america.cgtn.com/2016/11/18/chinese-president-honors-ecuadors-heroes-during-visit|https://www.fmprc.gov.cn/eng/gjhdq_665435/3447_665449/3493_665068/3495_665072/202406/t20240612_11428799.html|https://www.fmprc.gov.cn/eng/zy/jj/2016zt/XJPDEGDEBLZLJXGSFWBCXZBLLMJXDYTJHZZDESSCLDRFZSHY/202406/t20240606_11381061.html
10062,Peru,PER,Latin America and Caribbean,0,11/18/16,11/22/16,2016,1,APEC,24,1,1,1,1,1,Lima,"-12.0459808, -77.0305912",https://www.fmprc.gov.cn/eng/topics_665678/2016zt/XJPDEGDEBLZLJXGSFWBCXZBLLMJXDYTJHZZDESSCLDRFZSHY/201611/t20161122_704380.html|https://www.fmprc.gov.cn/eng/zy/jj/2016zt/XJPDEGDEBLZLJXGSFWBCXZBLLMJXDYTJHZZDESSCLDRFZSHY/202406/t20240606_11381061.html|https://www.fmprc.gov.cn/eng/gjhdq_665435/3447_665449/3513_665118/3515_665122/202406/t20240612_11428916.html|https://www.fmprc.gov.cn/mfa_eng//zy/jj/2016zt/XJPDEGDEBLZLJXGSFWBCXZBLLMJXDYTJHZZDESSCLDRFZSHY/202406/t20240606_11381075.html|https://www.fmprc.gov.cn/eng/zy/jj/2016zt/XJPDEGDEBLZLJXGSFWBCXZBLLMJXDYTJHZZDESSCLDRFZSHY/202406/t20240606_11381074.html
10063,Chile,CHL,Latin America and Caribbean,0,11/22/16,11/23/16,2016,0,0,24,1,1,1,1,1,Santiago,"-33.4376995, -70.6510671",http://surabaya.china-consulate.gov.cn/eng/jrzg_2/201611/t20161125_5332316.htm|http://np.china-embassy.gov.cn/eng/News/201611/t20161129_1585137.htm|https://www.fmprc.gov.cn/eng/zy/jj/2016zt/XJPDEGDEBLZLJXGSFWBCXZBLLMJXDYTJHZZDESSCLDRFZSHY/202406/t20240606_11381061.html|https://www.fmprc.gov.cn/eng/zy/jj/2016zt/XJPDEGDEBLZLJXGSFWBCXZBLLMJXDYTJHZZDESSCLDRFZSHY/202406/t20240606_11381078.html|https://www.mfa.gov.cn/eng/zy/jj/2016zt/XJPDEGDEBLZLJXGSFWBCXZBLLMJXDYTJHZZDESSCLDRFZSHY/202406/t20240606_11381081.html|https://www.fmprc.gov.cn/eng/zy/jj/2016zt/XJPDEGDEBLZLJXGSFWBCXZBLLMJXDYTJHZZDESSCLDRFZSHY/202406/t20240606_11381080.html
10064,Spain,ESP,Europe and Central Asia,0,11/23/16,11/24/16,2016,0,0,24,1,1,0,0,0,"Maspalomas, Canary Islands","27.7527731, -15.5970832",http://np.china-embassy.gov.cn/eng/News/201611/t20161129_1585137.htm|https://www.laprovincia.es/canarias/2016/11/24/xi-jinping-llega-gran-canaria-9808617.html|https://www.chinadaily.com.cn/world/2016xivisitepc/2016-11/25/content_27481659.htm|https://en.maspalomas24h.com/art/7324/que-hacia-la-alcaldesa-de-las-palmas-en-la-llegada-de-xi-jinping-y-nadie-de-la-capital-real-de-la-isla
10065,Switzerland,CHE,Europe and Central Asia,0,1/15/17,1/18/17,2017,0,0,25,1,1,1,1,1,Zurich; Bern; Davos; Geneva,"47.3744489, 8.5410422; 46.9484742, 7.4521749; 46.796198, 9.8236892; 46.2017559, 6.1466014",https://www.fmprc.gov.cn/eng/topics_665678/2017zt/xjpdrsjxgsfwcxsjjjlt2017nnhbfwrsgjzz/201701/t20170110_703486.html|https://www.eda.admin.ch/countries/china/en/home/news/news.html/content/countries/china/en/meta/news/2017/201701/Chinese-President-XI-Jinping-ends-state-visit-to-Switzerland|https://www.fmprc.gov.cn/eng./zy/jj/2017zt/xjpdrsjxgsfwcxsjjjlt2017nnhbfwrsgjzz/|https://www.fmprc.gov.cn/eng./zy/jj/2017zt/xjpdrsjxgsfwcxsjjjlt2017nnhbfwrsgjzz/202406/t20240606_11380590.html|http://www.scio.gov.cn/news_0/202209/t20220921_422891.html|https://en.people.cn/n3/2017/0111/c90000-9165250.html
10066,Finland,FIN,Europe and Central Asia,0,4/4/17,4/6/17,2017,0,0,26,1,1,1,1,1,Helsinki,"60.1666204, 24.9435408",http://www.xinhuanet.com//english/2017-04/04/c_136182405.htm|https://www.fmprc.gov.cn/mfa_eng/topics_665678/2017zt/xjpdfljxgsfwbfmgflldjxzmyshw/201704/t20170411_703551.html|https://www.fmprc.gov.cn/eng/zy/jj/2017zt/xjpdfljxgsfwbfmgflldjxzmyshw/202406/t20240606_11380623.html|https://www.presidentti.fi/niinisto/en/pictures/state-visit-of-president-of-china-4-6-4-2017/index.html|https://www.fmprc.gov.cn/eng/zy/jj/2017zt/xjpdfljxgsfwbfmgflldjxzmyshw/202406/t20240606_11380621.html
10067,United States,USA,North America,0,4/6/17,4/9/17,2017,0,0,26,0,4,0,1,0,"Palm Beach, Florida","26.6279798, -80.4494174",https://www.fmprc.gov.cn/mfa_eng/topics_665678/2017zt/xjpdfljxgsfwbfmgflldjxzmyshw/201704/t20170411_703555.html|https://history.state.gov/departmenthistory/visits/china|https://www.fmprc.gov.cn/eng/zy/jj/2017zt/xjpdfljxgsfwbfmgflldjxzmyshw/202406/t20240606_11380623.html|https://www.fmprc.gov.cn/eng/zy/jj/2017zt/xjpdfljxgsfwbfmgflldjxzmyshw/202406/t20240606_11380626.html
10068,Kazakhstan,KAZ,Europe and Central Asia,1,6/7/17,6/10/17,2017,1,SCO,27,0,3,1,1,1,Astana,"51.1282205, 71.4306682",http://www.xinhuanet.com//english/2017-06/07/c_136347953.htm|https://www.fmprc.gov.cn/mfa_eng/topics_665678/2017zt/xjpdhjxgsfwbcxshzzcygyslshdsqchyhastnzxsbhkms/201706/t20170612_703611.html|https://www.fmprc.gov.cn/eng/wjb_663304/zzjg_663340/dozys_664276/dqzzywt_664402/201706/t20170613_555166.html|https://www.fmprc.gov.cn/eng/wjb_663304/zzjg_663340/dozys_664276/dqzzywt_664402/201706/t20170613_555160.html|https://www.fmprc.gov.cn/eng/zy/jj/2017zt/xjpdhjxgsfwbcxshzzcygyslshdsqchyhastnzxsbhkms/|https://www.fmprc.gov.cn/eng/zy/jj/2017zt/xjpdhjxgsfwbcxshzzcygyslshdsqchyhastnzxsbhkms/202406/t20240606_11380653.html|http://www.scio.gov.cn/news_0/202209/t20220921_426065.html|https://www.fmprc.gov.cn/eng/zy/jj/2017zt/xjpdhjxgsfwbcxshzzcygyslshdsqchyhastnzxsbhkms/202406/t20240606_11380656.html
10069,Russia,RUS,Europe and Central Asia,1,7/3/17,7/4/17,2017,0,0,28,0,6,1,1,1,Moscow,"55.625578, 37.6063916",https://web.archive.org/web/20181130133216/http://www.xinhuanet.com/english/2017-07/03/c_136414059.htm|http://news.xinhuanet.com/english/2017-07/05/c_136417471.htm|https://ph.china-embassy.gov.cn/eng/chinew/201707/t20170706_1165880.htm|http://en.kremlin.ru/events/president/transcripts/54972|https://www.mfa.gov.cn/eng/zy/jj/2017zt/XJPDEDFWBCXGEODSECFH/202406/t20240606_11380677.html|https://www.chinadaily.com.cn/world/2017xivisitgermany/2017-07/05/content_30001609.htm|https://ph.china-embassy.gov.cn/eng/chinew/201707/t20170706_1165889.htm
10070,Germany,DEU,Europe and Central Asia,0,7/4/17,7/8/17,2017,1,G20,28,0,2,1,1,1,Berlin; Hamburg,"52.5173885, 13.3951309; 53.5501721, 10.0013165",http://www.xinhuanet.com/english/2017-07/05/c_136417343.htm|https://www.fmprc.gov.cn/mfa_eng/topics_665678/2017zt/XJPDEDFWBCXGEODSECFH/201707/t20170712_703686.html|https://ph.china-embassy.gov.cn/eng/chinew/201707/t20170706_1165880.htm|https://www.mfa.gov.cn/eng/zy/jj/2017zt/XJPDEDFWBCXGEODSECFH/202406/t20240606_11380677.html|https://www.mfa.gov.cn/eng/zy/jj/2017zt/XJPDEDFWBCXGEODSECFH/202406/t20240606_11380694.html|https://www.mfa.gov.cn/eng/zy/jj/2017zt/XJPDEDFWBCXGEODSECFH/202406/t20240606_11380682.html|https://www.chinadaily.com.cn/world////2017xivisitgermany/2017-07/09/content_30047587.htm|https://ph.china-embassy.gov.cn/eng/chinew/201707/t20170710_1165926.htm
10071,Vietnam,VNM,East Asia and Pacific,1,11/10/17,11/13/17,2017,1,APEC,29,0,2,1,1,1,Hanoi; Da Nang,"21.0283334, 105.854041; 16.068, 108.212",https://www.fmprc.gov.cn/mfa_eng/topics_665678/2017zt/xjpcxdeswjapcebdynlwjxgsfw/201711/t20171114_703758.html|http://english.www.gov.cn/news/top_news/2017/11/10/content_281475938224046.htm|https://e.vnexpress.net/news/news/chinese-president-wraps-up-vietnam-visit-3669783.html|https://www.mfa.gov.cn/eng/zy/jj/2017zt/xjpcxdeswjapcebdynlwjxgsfw/202406/t20240606_11380723.html|https://md.china-embassy.gov.cn/eng/zgyw/201711/t20171115_2617368.htm|https://losangeles.china-consulate.gov.cn/eng/topnews/201711/t20171114_4298233.htm|https://english.www.gov.cn/news/top_news/2017/11/12/content_281475940022380.htm
10072,Laos,LAO,East Asia and Pacific,1,11/13/17,11/14/17,2017,0,0,29,1,1,1,1,1,Vientiane,"17.9640988, 102.6133707",https://www.fmprc.gov.cn/mfa_eng/topics_665678/2017zt/xjpcxdeswjapcebdynlwjxgsfw/201711/t20171115_703776.html|http://www.xinhuanet.com/english/2017-11/14/c_136752151.htm|https://losangeles.china-consulate.gov.cn/eng/topnews/201711/t20171114_4298233.htm|https://www.mfa.gov.cn/eng/zy/jj/2017zt/xjpcxdeswjapcebdynlwjxgsfw/202406/t20240606_11380741.html|http://politics.people.com.cn/n1/2017/1114/c1024-29643807.html|https://www.xinhuanet.com//english/2017-11/14/c_136752151.htm
10073,United Arab Emirates,ARE,Middle East and North Africa,0,7/19/18,7/21/18,2018,0,0,30,1,1,1,0,1,Abu Dhabi,"24.4538352, 54.3774014",https://www.fmprc.gov.cn/eng/topics_665678/2018zt/xgswfcxjxgjmlqs/201807/t20180720_710165.html|https://gulfbusiness.com/chinese-president-ends-uae-visit-raft-deals-signed/|https://www.fmprc.gov.cn/eng/zy/jj/2018zt/xgswfcxjxgjmlqs/202406/t20240606_11380515.html|https://www.fmprc.gov.cn/eng/zy/jj/2018zt/xgswfcxjxgjmlqs/202406/t20240606_11380521.html|https://www.wam.ae/en/article/hszr79i9-chinese-president-jinping-arrives-uae-three-day
10074,Senegal,SEN,Sub-Saharan Africa,0,7/21/18,7/22/18,2018,0,0,30,1,1,1,1,1,Dakar,"14.693425, -17.447938",http://www.chinadaily.com.cn/a/201807/21/WS5b5353a2a310796df4df7e45_3.html|https://www.washingtonpost.com/news/monkey-cage/wp/2018/07/24/xi-jinping-is-visiting-africa-this-week-heres-why-china-is-such-a-popular-development-partner/|https://www.fmprc.gov.cn/eng/zy/jj/2018zt/xgswfcxjxgjmlqs/202406/t20240606_11380515.html|https://www.fmprc.gov.cn/eng/zy/jj/2018zt/xgswfcxjxgjmlqs/202406/t20240606_11380520.html|https://www.fmprc.gov.cn/eng/zy/jj/2018zt/xgswfcxjxgjmlqs/202406/t20240606_11380522.html
10075,Rwanda,RWA,Sub-Saharan Africa,0,7/22/18,7/23/18,2018,0,0,30,1,1,1,1,1,Kigali,"-1.9534357, 30.1140089",https://www.rwandainchina.gov.rw/info/info-details/president-xi-jinping-held-a-successful-visit-to-rwanda|https://www.fmprc.gov.cn/eng/zy/jj/2018zt/xgswfcxjxgjmlqs/202406/t20240606_11380515.html|https://www.fmprc.gov.cn/eng/zy/jj/2018zt/xgswfcxjxgjmlqs/202406/t20240606_11380525.html|https://www.rwandainchina.gov.rw/info/info-details/president-xi-jinping-held-a-successful-visit-to-rwanda
10076,South Africa,ZAF,Sub-Saharan Africa,0,7/23/18,7/27/18,2018,1,BRICS,30,0,3,1,1,1,Pretoria; Johannesburg,"-25.7459277, 28.1879101; -26.205, 28.049722",http://www.xinhuanet.com/english/2018-07/24/c_137344271.htm|https://www.fmprc.gov.cn/eng/zy/jj/2018zt/xgswfcxjxgjmlqs/202406/t20240606_11380515.html|https://www.fmprc.gov.cn/eng/zy/jj/2018zt/xgswfcxjxgjmlqs/202406/t20240606_11380525.html|https://www.mfa.gov.cn/eng/zy/jj/2018zt/xgswfcxjxgjmlqs/202406/t20240606_11380527.html|https://thepresidency.gov.za/president-cyril-ramaphosa-receive-president-xi-jinping-peoples-republic-china-state-visit-south
10077,Mauritius,MUS,Sub-Saharan Africa,0,7/27/18,7/28/18,2018,0,0,30,1,1,1,0,1,Port Louis,"-20.1624522, 57.5028044",http://www.xinhuanet.com/english/2018-07/28/c_137352926.htm|https://www.fmprc.gov.cn/eng/zy/jj/2018zt/xgswfcxjxgjmlqs/202406/t20240606_11380525.html|https://www.mfa.gov.cn/eng/zy/jj/2018zt/xgswfcxjxgjmlqs/202406/t20240606_11380544.html|https://www.fmprc.gov.cn/eng/zy/jj/2018zt/xgswfcxjxgjmlqs/202406/t20240606_11380545.html|https://bw.china-embassy.gov.cn/eng//zfgx/201807/t20180717_5719652.htm
10078,Russia,RUS,Europe and Central Asia,1,9/11/18,9/12/18,2018,0,0,31,0,7,0,1,0,Vladivostok,"43.1150678, 131.8855768",https://www.fmprc.gov.cn/mfa_eng/topics_665678/2018zt/xjpfecxdsjdfjjlt/201809/t20180912_710140.html|https://www.fmprc.gov.cn/mfa_eng/topics_665678/2018zt/xjpfecxdsjdfjjlt/201809/t20180914_710154.html|https://www.fmprc.gov.cn/mfa_eng/zy/jj/2018zt/xjpfecxdsjdfjjlt/index_1.html|https://www.fmprc.gov.cn/mfa_eng/zy/jj/2018zt/xjpfecxdsjdfjjlt/202406/t20240606_11380500.html|https://www.fmprc.gov.cn/mfa_eng/zy/jj/2018zt/xjpfecxdsjdfjjlt/202406/t20240606_11380504.html|https://www.fmprc.gov.cn/mfa_eng/zy/jj/2018zt/xjpfecxdsjdfjjlt/202406/t20240606_11380509.html|https://www.fmprc.gov.cn/mfa_eng/zy/jj/2018zt/xjpfecxdsjdfjjlt/202406/t20240606_11380502.html
10079,Papua New Guinea,PNG,East Asia and Pacific,0,11/15/18,11/18/18,2018,1,APEC,32,1,1,1,0,1,Port Moresby,"-9.4743301, 147.1599504",https://www.theguardian.com/world/2018/nov/16/the-china-show-xi-jinping-arrives-in-png-for-start-of-apec-summit|http://www.xinhuanet.com/english/2018-11/18/c_137615119.htm|https://www.mfa.gov.cn/eng/zy/jj/2018zt/xjpcxytjhzz/202406/t20240606_11380428.html|http://www.xinhuanet.com/english/2018-11/15/c_137609205.htm|https://news.cgtn.com/news/3d3d514f79496a4e30457a6333566d54/index.html|https://thediplomat.com/2018/11/xi-arrives-in-papua-new-guinea-for-first-ever-visit-by-a-chinese-president/
